ID,Public Name,ERR,ERS,GPSC,GPSC__colour,GPSC_status__autocolour,CC__autocolour,In_Silico_ST__autocolour,MLST_profile_aroE_gdh_gki_recP_spi_xpt_ddl,In_Silico_Serotype,In_Silico_Serotype__colour,Pili,Pili__colour,pbp1a,pbp2b,pbp2x,AMO_MIC,AMO_Res,CFT_MIC,CFT_Res.Meningital.,CFT_Res.Non.meningital.,TAX_MIC,TAX_Res.Meningital.,TAX_Res.Non.meningital.,CFX_MIC,CFX_Res,MER_MIC,MER_Res,PEN_MIC,PEN_Res.Meningital.,PEN_Res.Non.meningital.,CHL_MIC,CHL_Res,CHL_Determinant,CLI_MIC,CLI_Res,CLI_Determinant,COT_MIC,COT_Res,COT_Determinant,DOX_MIC,DOX_Res,DOX_Determinant,ERY_MIC,ERY_Res,ERY_Determinant,ERY_CLI_Res,ERY_CLI_Determinant,FQ_Res,FQ_Determinant,KAN_Res,KAN_Determinant,LFX_MIC,LFX_Res,LFX_Determinant,RIF_MIC,RIF_Res,RIF_Determinant,SMX_Res,SMX_Determinant,TET_MIC,TET_Res,TET_Determinant,TMP_Res,TMP_Determinant,VAN_MIC,VAN_Res,VAN_Determinant,PILI1,PILI1_Determinant,PILI2,PILI2_Determinant,PEN-CHL-ERY-COT-TET,No_of_non_susceptible,MDR,MDR__colour,AMO_Res__colour,CFT_Res.Meningital.__colour,CFT_Res.Non.meningital.__colour,TAX_Res.Meningital.__colour,TAX_Res.Non.meningital.__colour,CFX_Res__colour,MER_Res__colour,PEN_Res.Meningital.__colour,PEN_Res.Non.meningital.__colour,CHL_Res__colour,CLI_Res__colour,COT_Res__colour,DOX_Res__colour,ERY_Res__colour,ERY_CLI_Res__colour,FQ_Res__colour,KAN_Res__colour,LFX_Res__colour,RIF_Res__colour,SMX_Res__colour,TET_Res__colour,TMP_Res__colour,VAN_Res__colour
24820_2#140,GPS_AR_2041,ERR2667521,ERS2552382,31,#e18e31,Dominant,CC5784,304,13-8-13-5-17-4-8,1,#416800,2,#ff9766,23,4,2,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,POS,pitB_GU256423,S-S-S-S-S,0,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#141,GPS_AR_2044,ERR2667522,ERS2552383,61,#64dd58,Intermediate,CC698,6403,1-16-71-1-6-17-6,22F,#72db93,neg,#4dbc6b,0,2,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-S-S,0,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#143,GPS_AR_2054,ERR2667524,ERS2552385,8,#8ea91e,Dominant,CC289,289,16-12-9-1-41-33-33,5,#0cc44f,neg,#4dbc6b,23,0,32,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 175,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 175,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#144,GPS_AR_2057,ERR2667525,ERS2552386,18,#4cc48c,Dominant,CC15,9,1-5-4-5-5-1-8,SEROBA FAILURE,transparent,neg,#4dbc6b,2,0,64,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,>= 1,R,msrD_3_AF227520,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-R-S-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#146,GPS_AR_2066,ERR2667527,ERS2552388,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#147,GPS_AR_2073,ERR2667528,ERS2552390,37,#da3a83,Dominant,CC751,751,7-47-29-37-6-1-80,6E(6B),#3c9f00,neg,#4dbc6b,2,211,515,0.06,S,<= 0.5,S,S,0.12,S,S,<= 0.5,S,<= 0.06,S,0.12,R,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,R-S-S-I-S,2,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#148,GPS_AR_2075,ERR2667529,ERS2552391,6,#57a627,Dominant,CC156,14448,7-11-666-117-36-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#149,GPS_AR_2082,ERR2667530,ERS2552392,822,#57c6ff,Not observed in previous study (Gladstone et al under revision),Singleton,797,8-4-9-8-71-1-20,14,#0156b8,neg,#4dbc6b,0,0,2,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-S-S,0,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#150,GPS_AR_2084,ERR2667531,ERS2552393,2,#8da9ac,Dominant,CC615,615,10-31-4-1-6-4-94,1,#416800,2,#ff9766,0,4,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,POS,pitB_GU256423,S-S-S-S-S,0,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#151,GPS_AR_2087,ERR2667532,ERS2552394,8,#8ea91e,Dominant,CC289,289,16-12-9-1-41-33-33,5,#0cc44f,neg,#4dbc6b,23,0,32,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 175,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 175,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#152,GPS_AR_2088,ERR2667533,ERS2552395,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#153,GPS_AR_2110,ERR2667534,ERS2552396,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#154,GPS_AR_2112,ERR2667535,ERS2552397,6,#57a627,Dominant,CC156,14491,7-11-10-117-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#155,GPS_AR_2117,ERR2667536,ERS2552398,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
