Sample_ID,Read_QC,Assembly_QC,Mapping_QC,Taxonomy_QC,Overall_QC,Bases,Contigs#,Assembly_Length,Seq_Depth,Ref_Cov_%,Het-SNP#,S.Pneumo_%,Top_Non-Strep_Genus,Top_Non-Strep_Genus_%,GPSC,Serotype,ST,aroE,gdh,gki,recP,spi,xpt,ddl,pbp1a,pbp2b,pbp2x,AMO_MIC,AMO_Res,CFT_MIC,CFT_Res(Meningital),CFT_Res(Non-meningital),TAX_MIC,TAX_Res(Meningital),TAX_Res(Non-meningital),CFX_MIC,CFX_Res,MER_MIC,MER_Res,PEN_MIC,PEN_Res(Meningital),PEN_Res(Non-meningital),CHL_MIC,CHL_Res,CHL_Determinant,CLI_MIC,CLI_Res,CLI_Determinant,COT_MIC,COT_Res,COT_Determinant,DOX_MIC,DOX_Res,DOX_Determinant,ERY_MIC,ERY_Res,ERY_Determinant,ERY_CLI_Res,ERY_CLI_Determinant,FQ_Res,FQ_Determinant,KAN_Res,KAN_Determinant,LFX_MIC,LFX_Res,LFX_Determinant,RIF_MIC,RIF_Res,RIF_Determinant,SMX_Res,SMX_Determinant,TET_MIC,TET_Res,TET_Determinant,TMP_Res,TMP_Determinant,VAN_MIC,VAN_Res,VAN_Determinant,PILI1,PILI1_Determinant,PILI2,PILI2_Determinant
24820_2#136,PASS,PASS,PASS,PASS,PASS,340670512,37,2135433,159.53,91.86,72,89.77,Staphylococcus,0,820,6E(6B),1123,5,25,4,10,15,20,135,23,4,3,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,01-Feb,I,folP_AE007317 INS at 199,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 199,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#137,PASS,PASS,PASS,PASS,PASS,347615102,43,2013920,172.6,90.84,65,91.83,Cupriavidus,0.06,226,27,1475,2,17,107,24,9,105,14,2,0,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#138,PASS,PASS,PASS,PASS,PASS,339290194,43,2105364,161.15,92.14,51,92.24,Staphylococcus,0,821,6E(6A),15178,7,660,1,2,6,1,14,0,10,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,01-Feb,I,folP_AE007317 INS at 178,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 178,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#139,PASS,PASS,PASS,PASS,PASS,364957812,49,2107833,173.14,90.83,44,91.61,Staphylococcus,0,6,14,156,7,11,10,1,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#140,PASS,PASS,PASS,PASS,PASS,378251310,43,2035962,185.78,91.83,59,93.46,Bacillus,0,31,1,304,13,8,13,5,17,4,8,23,4,2,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,POS,pitB_GU256423
24820_2#141,PASS,PASS,PASS,PASS,PASS,352970328,17,1979569,178.3,90.71,46,92.27,Lactobacillus,0,61,22F,6403,1,16,71,1,6,17,6,0,2,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#143,PASS,PASS,PASS,PASS,PASS,406349740,36,2069823,196.32,92.68,80,92.94,Staphylococcus,0,8,5,289,16,12,9,1,41,33,33,23,0,32,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,01-Feb,I,folP_AE007317 INS at 175,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 175,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#144,PASS,PASS,PASS,PASS,PASS,316890990,37,2058567,153.93,91.7,58,93.92,Staphylococcus,0,18,SEROBA FAILURE,9,1,5,4,5,5,1,8,2,0,64,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,>= 1,R,msrD_3_AF227520,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#146,PASS,PASS,PASS,PASS,PASS,376850708,55,2094907,179.88,91.12,55,88.96,Bacillus,0,6,14,156,7,11,10,1,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#147,PASS,PASS,PASS,PASS,PASS,357853520,22,2091309,171.11,92.85,65,92.13,Staphylococcus,0,37,6E(6B),751,7,47,29,37,6,1,80,2,211,515,0.06,S,<= 0.5,S,S,0.12,S,S,<= 0.5,S,<= 0.06,S,0.12,R,S,<= 4,S,_,<= 0.25,S,_,01-Feb,I,folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#148,PASS,PASS,PASS,PASS,PASS,380062802,40,2069372,183.66,90.37,50,91.84,Staphylococcus,0,6,14,14448,7,11,666,117,36,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#149,PASS,PASS,PASS,PASS,PASS,354695950,50,2159983,164.21,91.38,65,90.53,Staphylococcus,0,822,14,797,8,4,9,8,71,1,20,0,0,2,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#150,PASS,PASS,PASS,PASS,PASS,352330570,25,2062594,170.81,92.34,64,93.21,Methanoculleus,0.04,2,1,615,10,31,4,1,6,4,94,0,4,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,POS,pitB_GU256423
24820_2#151,PASS,PASS,PASS,PASS,PASS,397830164,34,2107346,188.78,91.81,70,92.52,Staphylococcus,0.03,8,5,289,16,12,9,1,41,33,33,23,0,32,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,01-Feb,I,folP_AE007317 INS at 175,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 175,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#152,PASS,PASS,PASS,PASS,PASS,385979332,51,2068327,186.61,90.61,47,92.68,Staphylococcus,0,6,14,156,7,11,10,1,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#153,PASS,PASS,PASS,PASS,PASS,335565442,39,2073231,161.85,90.98,42,92.98,Staphylococcus,0,6,14,156,7,11,10,1,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#154,PASS,PASS,PASS,PASS,PASS,373013866,39,2071127,180.1,90.96,58,92.17,Acetobacter,0,6,14,14491,7,11,10,117,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#155,PASS,PASS,PASS,PASS,PASS,335896526,45,2072784,162.05,90.68,37,92.72,Staphylococcus,0,6,14,156,7,11,10,1,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#156,PASS,PASS,PASS,PASS,PASS,378056976,43,2073924,182.29,90.71,57,92.84,Staphylococcus,0,6,14,156,7,11,10,1,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#157,PASS,PASS,PASS,PASS,PASS,353746286,32,2108428,167.77,92.75,55,86.77,Polynucleobacter,0.02,50,18C,113,7,2,1,1,10,1,21,123,4,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#158,PASS,PASS,PASS,PASS,PASS,381803456,45,2069511,184.48,90.99,47,92.84,Polynucleobacter,0.02,6,14,156,7,11,10,1,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#159,PASS,PASS,PASS,PASS,PASS,345779924,60,2112073,163.71,90.71,58,89.81,Bacillus,0,6,14,156,7,11,10,1,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#160,PASS,PASS,PASS,PASS,PASS,341085150,62,2128404,160.25,91.23,42,90.17,Staphylococcus,0,6,14,156,7,11,10,1,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#161,PASS,PASS,PASS,PASS,PASS,353083408,34,2043911,172.74,91.66,55,92.55,Anaerococcus,0.02,131,15C,3669,43,5,4,117,36,259,74,2,0,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#162,PASS,PASS,PASS,PASS,PASS,330951968,44,2031026,162.94,90.79,51,93.54,Bacillus,0,6,14,156,7,11,10,1,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#163,PASS,PASS,PASS,PASS,PASS,359153482,37,2185068,164.36,93.73,69,88.44,Bacillus,0,290,19AF,14493,1,5,4,10,33,1,1,0,0,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#164,PASS,PASS,PASS,PASS,PASS,362888936,38,2069439,175.35,94.17,24,91.04,Staphylococcus,0,16,13,14460,7,13,53,4,624,1,20,23,0,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#165,PASS,PASS,PASS,PASS,PASS,342887870,39,2071645,165.51,90.83,50,92.86,Staphylococcus,0,6,14,156,7,11,10,1,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#166,PASS,PASS,PASS,PASS,PASS,430107508,40,2073211,207.45,91.26,43,92.82,Staphylococcus,0,6,14,156,7,11,10,1,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#167,PASS,PASS,PASS,PASS,PASS,376946190,35,2151079,175.23,92.71,54,91.24,Lactobacillus,0.01,18,14,15,1,5,4,5,5,3,8,2,0,2,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,01-Feb,I,folP_AE007317 MULTIPLE at 178-180,>= 1,R,tetM_M85225,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,>= 4,R,tetM_M85225,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#168,PASS,PASS,PASS,PASS,PASS,357909746,34,2072108,172.72,91.12,71,93.56,Staphylococcus,0,8,5,289,16,12,9,1,41,33,33,23,0,32,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,01-Feb,I,folP_AE007317 INS at 175,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 175,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#169,PASS,PASS,PASS,PASS,PASS,355302860,32,2072682,171.42,90.26,65,93.48,Staphylococcus,0,8,5,289,16,12,9,1,41,33,33,23,0,32,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,01-Feb,I,folP_AE007317 INS at 175,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 175,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
